tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
1621.00,415999043#1_0,74.22,13.32,1590.00,0.00,30480344#9_0,0.20,0.00,tripinfo_1590 emissions_1590 fcd_1590,31.00,1590,0,318.31,0.97,0.00,5.66,t_2,,0,0.00,110520.064301,1754.066836,10.434868,44.613468,1.895052,0,35250.913849
1623.00,24419167#2_1,0.15,7.23,1515.00,0.00,24360577#0_0,0.20,0.00,tripinfo_1515 emissions_1515 fcd_1515,108.00,1515,0,1095.23,1.02,0.00,32.33,t_2,,0,0.00,411331.638551,6567.143473,39.470432,170.358582,7.652564,0,131195.609568
1625.00,107938353_0,0.20,5.61,1510.00,0.00,534433671#1_0,12.10,0.00,tripinfo_1510 emissions_1510 fcd_1510,115.00,1510,0,1058.43,1.00,0.00,51.31,t_0,,1,7.00,2131131.391691,3321.387575,653.150272,16455.062273,354.349592,0,674384.497150
1628.00,532184438#1_0,65.20,17.92,726.00,0.00,-24612003#3_0,0.20,0.00,tripinfo_726 emissions_726 fcd_726,902.00,726,0,1790.44,1.09,0.00,689.38,t_2,,6,621.00,2278101.748506,113736.367148,571.061640,1017.053074,53.244331,0,726644.802541
1629.00,30480344#3_0,83.37,12.50,1095.00,0.00,424798277#1_0,2.30,0.00,tripinfo_1095 emissions_1095 fcd_1095,534.00,1095,0,1386.34,1.00,0.00,464.34,t_1,,8,396.00,1318116.349025,106145.191469,410.156297,292.028894,119.698568,0,420481.525131
1635.00,431775785#1_1,10.33,10.84,1042.00,0.00,24650050#10_0,2.30,0.00,tripinfo_1042 emissions_1042 fcd_1042,593.00,1042,0,1481.09,0.94,0.00,486.81,t_1,,12,387.00,1099859.259483,96811.457945,366.029312,255.481945,102.972741,0,350858.728047
1639.00,-431942729#6_0,4.92,12.88,1122.00,0.00,24650050#13_0,0.20,0.00,tripinfo_1122 emissions_1122 fcd_1122,517.00,1122,0,1945.12,0.99,0.00,385.93,t_2,,9,297.00,1428156.607013,63108.772223,320.387322,623.522721,31.523533,0,455535.316418
1640.00,424184689#2_0,24.31,11.31,1619.00,0.00,24360386#5_0,0.20,0.00,tripinfo_1619 emissions_1619 fcd_1619,21.00,1619,0,162.42,0.91,0.00,6.13,t_1,,0,0.00,86303.630754,3283.197144,14.635136,18.525085,4.958156,0,27530.408383
1641.00,291083095#0_0,99.34,21.00,126.00,0.00,-24717709_0,12.10,0.00,tripinfo_126 emissions_126 fcd_126,1515.00,126,0,1870.60,1.00,0.00,1387.85,t_0,,31,1133.00,10348595.052982,31529.548163,7351.548361,105623.766326,3176.387687,0,3272634.266280
1641.00,31921690#2_0,0.30,13.48,1324.00,0.00,-284377776#1_0,12.10,0.00,tripinfo_1324 emissions_1324 fcd_1324,317.00,1324,0,1658.08,1.00,0.00,221.45,t_0,,3,149.00,3755019.141660,7617.755815,1641.190102,31928.038292,791.952194,0,1188020.325492
