tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
129.00,-E4_0,100.00,13.46,95.00,0.00,-E7_0,2.30,0.00,tripinfo_95 emissions_95,34.00,95,0,397.90,0.97,0.00,4.20,motorcycle,,0,0.00,115479.368091,3222.912978,15.425186,25.358087,5.412379,0,36836.773346
133.00,-E0_0,100.00,12.35,105.00,2.00,-E6_0,2.30,0.00,tripinfo_103 emissions_103,28.00,103,0,297.60,0.95,0.00,3.87,motorcycle,,0,0.00,119865.557329,3814.369449,17.766248,25.879485,6.193126,0,38236.164076
141.00,-E2_0,92.80,5.09,80.00,1.00,-E3_0,12.10,0.00,tripinfo_79 emissions_79,61.00,79,0,180.80,1.00,0.00,47.94,bus,,1,32.00,590878.908692,1409.385283,313.608020,5378.188411,144.414974,0,186912.996015
145.00,E7_0,100.00,13.08,127.00,0.00,E6_0,2.30,0.00,tripinfo_127 emissions_127,18.00,127,0,190.60,0.96,0.00,2.69,motorcycle,,0,0.00,83864.868473,2814.875702,13.043852,17.811434,4.576571,0,26752.321673
156.00,-E4_0,100.00,13.52,74.00,0.00,-E3_0,12.10,0.00,tripinfo_74 emissions_74,82.00,74,0,382.73,1.00,0.00,53.79,bus,,1,38.00,977241.192307,2046.891844,446.447464,8414.451911,212.309173,0,309174.080283
156.00,E6_0,92.80,14.85,113.00,0.00,E0_0,2.30,0.00,tripinfo_113 emissions_113,43.00,113,0,292.43,1.17,0.00,23.88,motorcycle,,1,9.00,168211.574508,7920.623870,33.827653,35.723464,11.109220,0,53658.902395
157.00,E3_0,100.00,13.63,73.00,0.00,E0_0,12.10,0.00,tripinfo_73 emissions_73,84.00,73,0,388.10,1.00,0.00,55.41,bus,,1,38.00,979469.780216,2061.558836,450.878051,8449.472205,213.783371,0,309878.319809
157.00,E2_0,92.80,14.49,123.00,4.00,E1_0,2.30,0.00,tripinfo_119 emissions_119,34.00,119,0,197.70,1.18,0.00,21.67,motorcycle,,1,8.00,128820.979741,6536.569330,27.434807,27.625267,8.818007,0,41093.544705
159.00,E3_0,100.00,16.10,108.00,0.00,E0_0,2.30,0.00,tripinfo_108 emissions_108,51.00,108,0,397.90,1.18,0.00,26.20,motorcycle,,1,12.00,202822.468188,9056.436415,38.927803,43.604977,12.757296,0,64699.333155
161.00,E3_0,100.00,13.78,116.00,0.00,E1_0,2.30,0.00,tripinfo_116 emissions_116,45.00,116,0,297.80,1.02,0.00,23.87,motorcycle,,1,10.00,142110.927187,6624.526391,27.921520,31.360354,8.876270,0,45332.675684
164.00,E3_0,100.00,10.97,111.00,0.00,E0_0,2.30,0.00,tripinfo_111 emissions_111,53.00,111,0,397.90,1.01,0.00,23.87,motorcycle,,1,9.00,152751.032874,6828.255833,29.110064,33.522362,9.369672,0,48726.780419
172.00,E7_0,100.00,11.87,121.00,0.00,E0_0,2.30,0.00,tripinfo_121 emissions_121,51.00,121,0,392.53,0.90,0.00,18.01,motorcycle,,0,0.00,155250.872484,6105.711750,26.891615,33.656052,8.964171,0,49524.156822
174.00,E7_0,100.00,13.28,133.00,0.00,E1_0,5.10,0.00,tripinfo_133 emissions_133,41.00,133,0,289.63,1.04,0.00,19.45,taxi,,0,0.00,126601.888594,2787.147042,15.650293,53.021181,2.363900,0,40380.540459
175.00,E7_0,100.00,13.60,136.00,0.00,E1_0,5.10,0.00,tripinfo_136 emissions_136,39.00,136,0,289.63,1.00,0.00,17.08,taxi,,0,0.00,131944.271325,2748.032984,15.613622,55.188354,2.463134,0,42084.437839
178.00,-E1_0,92.80,11.14,89.00,5.00,-E3_0,2.30,0.00,tripinfo_84 emissions_84,89.00,84,0,297.80,0.94,0.00,65.77,motorcycle,,2,43.00,184086.471369,13702.162903,52.992444,42.129621,15.319328,0,58723.749588
178.00,-E4_0,100.00,12.13,141.00,0.00,E1_0,5.10,0.00,tripinfo_141 emissions_141,37.00,141,0,294.80,0.94,0.00,13.62,taxi,,0,0.00,104848.312735,2130.103113,12.107863,43.062451,1.842560,0,33442.109803
